Client ID,Contact ID,JobNumber,Project Name,Job Description,Key Buzzz Contact,Invoice Schedule,Job Status,Reason for fail,Projecttype,Total Charge Out,Total Project Costs,Total Margin,Margin percent,DateEntered,Total Actual Costs,Toal Actual margin,Totalactualmargin%,variance,variance%,calcoldway
342,161,11090,"Project Clean Air","Pre-launch Research for Air Conditioning Product","Alan",,"Failed proposal","Too Expensive and out on time frame","Qual and Quant",,0.0000,0.0000,,"11/20/06 12:23:35",,,,0.0000,,0
313,124,11092,"DecoPack","New Decosol Packaging Research","Chris",,"Failed proposal","ÿþDid not progress","Quant",,3095.0000,4005.0000,0.564085,"11/24/06 15:30:43",,,,0.0000,0.000000,0
94,12,11093,"2007 Insight Programme","2007 Insight Programme","Chris",,"Proposal","","Qual and Quant",,500.0000,2000.0000,0.800000,"11/24/06 16:35:47",,,,0.0000,0.000000,0
313,124,11094,"Dickie","Richard Kendle Brand Research","Chris",,"Completed Job","","Qual and Quant",,1280.0000,3420.0000,0.727660,"11/28/06 17:15:20",,,,0.0000,0.000000,0
244,160,11095,"Blogger","Cancellation Fees","Alan",,"Completed Job","","Qual",,600.0000,850.0000,0.586207,"12/20/06 15:47:15",,,,0.0000,0.000000,0
265,61,11096,"Project Surfer","6 days time supporting on Land Rover concept qual research","Chris",,"Completed Job","","Consultancy",,303.0000,2997.0000,0.908182,"01/04/07 16:33:44",,,,0.0000,0.000000,0
341,158,11097,"Expression USA","Focus Groups to examine Expression Range in two US Cities","Alan",,"Failed proposal","","Qual",,41500.0000,18500.0000,0.308333,"01/10/07 11:10:40",,,,0.0000,0.000000,0
343,163,11098,"Shared Passions","To investigate Everyday Life and Aspirations of specific key segments and their Shared Passions. To help strategically with Sponsorhip Strategy for Nokia.","Alan",,"Completed Job","","Qual and Quant",,32135.0000,34665.0000,0.518937,"01/22/07 12:06:55",,,,23500.0000,0.000000,0
344,164,11099,"Sky Portal","Sky web portal developmental research","Chris",,"Failed proposal","","Qual",,10800.0000,9800.0000,0.475728,"02/13/07 15:55:19",,,,0.0000,0.000000,0
244,165,11100,"N95 Pilot","Feedback on N95 Pilot Users","Alan",,"Failed proposal","","Qual and Quant",,4600.0000,10710.0000,0.699543,"02/19/07 13:56:39",,,,0.0000,0.000000,0
343,163,11101,"","","",,"","","",,0.0000,0.0000,,"02/22/07 15:49:35",,,,0.0000,,0
94,12,11102,"Funders Segmentation","Customer Segmentation Research for Funders","Chris",,"Current job","","Qual",,7700.0000,6300.0000,0.450000,"02/22/07 16:54:59",,,,0.0000,0.000000,0
94,12,11103,"Employer Segmentation Qual","Qualitative customer segmentation research for Employers","Chris",,"Completed Job","","Qual",,16340.0000,22410.0000,0.578323,"02/22/07 17:00:16",,,,0.0000,0.000000,0
94,12,11104,"Jobseeker Segmentation Qual","Qualitative Customer Segmentation research for Jobseekers","Chris",,"Completed Job","","Qual",,21400.0000,22600.0000,0.513636,"02/22/07 17:12:14",,,,0.0000,0.000000,0
238,23,11105,"McCains Cut Potato Project","Consultancy Support for NPD Project on Cut Potato Products","Alan",,"Completed Job","","Consultancy",,46.2000,3160.0000,0.985590,"02/22/07 17:54:09",,,,46.2000,0.000000,0
244,159,11106,"N92 PLUS","Examine the reaction to the first TV phone to be rolled out in Asia.

Single market study in Vietnam","Alan",,"Failed proposal","ÿþLack of database","Qual and Quant",,9110.0000,26590.0000,0.808211,"03/16/07 12:47:04",,,,0.0000,0.000000,0
244,159,11107,"N95 PLUS","Post Launch Usage and Satisfaction Study for the N95 involving 9 Focus Groups and Online Study across 3 countries","Alan",,"Completed Job","","Qual and Quant",,24910.0000,8590.0000,0.256418,"03/16/07 13:12:24",,,,0.0000,0.000000,0
94,12,11108,"Wales Reseearch Presentation","Presentation of People and Jobseeker Research to Welsh Management Team - Mar 07","Chris",,"Completed Job","","Consultancy",,250.0000,950.0000,0.791667,"03/21/07 10:29:34",,,,0.0000,0.000000,0
94,12,11109,"JCP Relationship Research","Postal Survey to Key JCP Contacts","Chris",,"Completed Job","","Quant",,1415.0000,7185.0000,0.835465,"03/22/07 11:01:34",,,,1370.5000,0.000000,0
239,21,11110,"Brooklyn Juniors","Testing Consumer Reaction to a new Frozen Baked Cheesecake concept","Alan",,"Completed Job","","Qual",,3810.0000,4890.0000,0.562069,"04/10/07 09:44:39",,,,0.0000,0.000000,0
346,167,11111,"Centre Needs","Assessing Needs of Eductaion Centres from an Awarding body","Alan",,"Completed Job","","Qual and Quant",,5650.0000,13322.5000,0.702201,"04/15/07 17:40:18",,,,0.0000,0.000000,0
340,155,11112,"Sunningdale Workshop","Attendance and facilitation of Sunningdale Workshop in April 2007","Chris",,"Completed Job","","Consultancy",,50.0000,600.0000,0.923077,"04/27/07 11:35:24",,,,0.0000,0.000000,0
244,165,11113,"Remote Mobile Test","New Concept Groups (Budget)","Alan",,"Failed proposal","","Qual",,7710.0000,5890.0000,0.433088,"05/01/07 11:51:24",,,,0.0000,0.000000,0
347,168,11114,"REL Brand Essence","Consultation on Brand Essence Work","Alan",,"Proposal","","Consultancy",,450.0000,5900.0000,0.929134,"05/15/07 10:02:11",,,,0.0000,0.000000,0
313,124,11115,"Fletchers Brand Audit","Workshops and Depth Interviews with key Stakeholders to develop current Brand Standing","Alan",,"Failed proposal","","Consultancy",,965.0000,6885.0000,0.877070,"05/17/07 20:04:39",,,,0.0000,0.000000,0
348,170,11116,"Boost","Packaging Concept Test for Energy Drink Pack Refresh","Alan",,"Failed proposal","ÿþNever heard from client","Qual",,3660.0000,4840.0000,0.569412,"05/21/07 14:35:16",,,,0.0000,0.000000,0
244,165,11117,"Remote Gaming","Assess the concept of a new Remote Gaming device","Alan",,"Completed Job","","Qual",,10210.0000,10190.0000,0.499510,"05/22/07 09:56:27",,,,0.0000,0.000000,0
349,150,11118,"White Rose Design Concept","Testing Design Concepts for White Rose Shopping Centre","Alan",,"Completed Job","","Qual and Quant",,1300.0000,2850.0000,0.686747,"06/04/07 16:13:18",,,,0.0000,0.000000,0
340,,11119,"North & South Marketing Workshops","Running Executive Half day Workshops aimed at Marketing and Customer Centricity","Alan",,"Current job","","Consultancy",,250.0000,1300.0000,0.838710,"06/05/07 13:40:09",,,,0.0000,0.000000,0
349,171,11120,"Cash Generators","Research Programme for Cash Generators","Alan",,"Failed proposal","ÿþClient had no budget","Qual and Quant",,50.0000,2950.0000,0.983333,"06/13/07 13:23:14",,,,0.0000,0.000000,0
350,172,11121,"Warm Glow","Focus Groups looking at NPD in Underfloor Heating Systems","Alan",,"Failed proposal","","Qual",,4360.0000,4140.0000,0.487059,"06/20/07 10:33:18",,,,0.0000,0.000000,0
351,173,11122,"Project Super League","Assessment of Qualifying Criteria for clubs looking to franchise into the Rugby Super League","Alan",,"Failed proposal","ÿþClient decided not to proceed","Quant",,31550.0000,14650.0000,0.317100,"06/21/07 11:26:53",,,,0.0000,0.000000,0
357,124,11123,"Fuelcards Audit","An Audit of key audiences for Fuelcards Group prior to any Re-Branding","Alan",,"Completed Job","","Qual",,3410.0000,10390.0000,0.752899,"07/02/07 17:18:30",,,,0.0000,0.000000,0
313,124,11124,"Working Links NE Campaign Evaluation","Test the Creative Impact of NE Recruitment Campaign","Alan",,"Failed proposal","","Quant",,3510.0000,3190.0000,0.476119,"07/05/07 14:33:45",,,,0.0000,0.000000,0
94,10,11125,"London People Work","Re-cut Analysis of People Survey and deploy with Focus Group Approach to London offices

Funded by £9k CREDIT from 2005 / 2006","Alan",,"Current job","","Qual and Quant",,0.0000,0.0000,,"07/20/07 12:12:04",,,,0.0000,,0
238,23,11126,"McCains NPD","Two Projects examining potential for Functional Food and Vegetables","Alan",,"Completed Job","","Consultancy",,184.0000,4580.0000,0.961377,"07/24/07 08:43:23",,,,0.0000,0.000000,0
352,174,11127,"Swiss Bread","Explore Needs States for Bread in Switzerland","Alan",,"Failed proposal","ÿþtoo expensive for client","Qual",,31990.0000,4900.0000,0.132827,"08/08/07 10:34:51",,,,0.0000,0.000000,0
239,21,11128,"Designyourcake.co.uk","Ecommerce concept testing","Claire",,"Completed Job","","Qual and Quant",,4190.0000,10710.0000,0.718792,"08/21/07 17:09:35",,,,0.0000,0.000000,0
340,0,11129,"2007 People Survey","Online Survey to examine Satisfaction Amongst People working with Working Links","Claire",,"Completed Job","","Quant",,2225.0000,10525.0000,0.825490,"08/22/07 09:02:28",,,,0.0000,0.000000,0
341,32,11130,"In Box","Assessment of Consumers views of In Box contents.","Alan",,"Failed proposal","ÿþClient decided not to proceed","Quant",,3500.0000,4500.0000,0.562500,"08/29/07 17:21:15",,,,0.0000,0.000000,0
244,165,11131,"N76 PLUS Study","Post Launch Usage and Satisfaction Study for the N76 model","Claire",,"Current job","","Qual and Quant",,13370.0000,13630.0000,0.504815,"09/03/07 14:11:39",,,,0.0000,0.000000,0
354,177,11132,"Project Quit","Researching the Effectiveness of Stop Smoking Intervention in Bradofrd and Airedale amongst Asian Ethnic Groups","Alan",,"Proposal","","Qual and Quant",,16375.0000,20625.0000,0.557432,"09/06/07 13:32:32",,,,0.0000,0.000000,0
340,155,11133,"EST Employer Presentation and Workshop","Re-presenting the Employers Qualitative Research in Birmingham","Alan",,"Completed Job","","Consultancy",,86.4400,413.5600,0.827120,"09/13/07 10:13:31",,,,0.0000,0.000000,0
355,179,11134,"Project Sauce","","Claire",,"Failed proposal","ÿþNo Budget","Quant",,0.0000,0.0000,,"09/14/07 13:30:04",,,,0.0000,,0
356,180,11135,"Aimlisting.co.uk","Online Interviews with Decision Makers in AIM listed businesses","Claire",,"Current job","","Quant",,3170.0000,1830.0000,0.366000,"09/18/07 09:55:06",,,,0.0000,0.000000,0
341,33,11136,"Project OTIC","Exploring Consumer Reaction to the concept of Over the Internet Configuration","Alan",,"Proposal","","Qual and Quant",,8290.0000,8710.0000,0.512353,"09/21/07 12:04:08",,,,0.0000,0.000000,0
340,178,11137,"2007 Jobseeker Satisfaction Survey","Quantitative Study into Client Satisfaction","Alan",,"Current job","","Quant",,14225.0000,14725.0000,0.508636,"09/28/07 11:50:20",,,,0.0000,0.000000,0
358,182,11138,"Total Jobs - Job Journey Scotland","Brand Health Check Research","Claire",,"Current job","","Quant",,5145.0000,5655.0000,0.523611,"10/01/07 13:58:47",,,,0.0000,0.000000,0
340,,11139,"Post WHC Evaluation Research","Quant and Qual evaluation of the likely appetite for a project similar to the Workplace Health Connect Service

PO NUMBER sh041","Claire",,"Current job","","Qual and Quant",,1900.0000,5250.0000,0.734266,"10/02/07 12:25:42",,,,0.0000,0.000000,0
341,152,11140,"Expressions 08","Qualitative Research to Explore reactions to New Mobile Phone Concepts for Create; Play and Street sub categories","Alan",,"Current job","","Qual",,8000.0000,26000.0000,0.940299,"10/02/07 19:27:46",,,,0.0000,0.000000,0
356,180,11141,"QX Accountancy Back Office Concept Test","","Claire",,"Proposal","","Quant",,0.0000,0.0000,,"10/09/07 11:45:35",,,,0.0000,,0
94,10,11142,"Yorkshire & Humber Competitor Research","","Claire",,"Current job","","Qual",,0.0000,0.0000,,"10/22/07 09:10:16",,,,0.0000,,0
358,182,11143,"North West Campaign Evaluation","To assess the impact of Marketing & Advertising Campaign in the North West of England","Claire",,"Proposal","","Quant",,12730.0000,7300.0000,0.364453,"10/29/07 14:06:30",,,,0.0000,0.000000,0
239,0,11144,"Project Christmas 2008","","Claire",,"Proposal","","Qual and Quant",,0.0000,0.0000,0.000000,"11/12/07 09:34:08",,,,0.0000,0.000000,0
360,184,11145,"Project Pita Bakes","Quant halls for Pita Bakes","Claire",,"Proposal","","Quant",,0.0000,0.0000,0.000000,"11/13/07 15:17:16",,,,0.0000,0.000000,0
