ID,Invoice Number,Description,Net Amount,Subject to VAt,VAT Amount,Total Amount
150,104,Total Project fees for Qualitative Segmentation Research for Funders,14000.00,TRUE,2450.00,16450.00
151,105,Total Project fees for Qualitative Segmentation Research for Employers,38750.00,TRUE,6781.25,45531.25
152,106,Total Project fees for Qualitative Segmentation Research for Jobseekers,44000.00,TRUE,7700.00,51700.00
153,107,Helsinki Workshop and Debrief for Expressions 07 Range,4896.00,FALSE,0.00,4896.00
154,108,First Stage of Shared Passions Project,41752.00,TRUE,7306.60,49058.60
155,109,Consultancy Support for McCains Cut Potato Concept Research (as quoted),3206.20,TRUE,561.09,3767.29
156,110,Presentation Preparation - 1/2 day,300.00,TRUE,52.50,352.50
157,110,Attendance at meeting in Cardiff - 1 day,600.00,TRUE,105.00,705.00
158,110,Travel costs,300.00,TRUE,52.50,352.50
159,111,Commission Credit,-350.00,TRUE,-61.25,-411.25
160,112,"Final Invoice for European Shared Passions Project to include Quantitative Fieldwork, Data Analysis and Fieldwork",29177.00,TRUE,5105.98,34282.98
161,113,Focus Groups conducted in Wakefield on behalf of Hird Prospective Client Richard Kendall Estate Agents,4700.00,TRUE,822.50,5522.50
162,114,Total Project Fees for JCP Relationship Research,8600.00,TRUE,1505.00,10105.00
163,115,Attendance and facilitation of 'Understanding Your Customer' workshop,600.00,TRUE,105.00,705.00
164,115,Travel costs,50.00,TRUE,8.75,58.75
165,116,First Half of Project Fees,16750.00,TRUE,2931.25,19681.25
166,117,First Half for the Brooklyn Juniors New Product research as quoted,4350.00,TRUE,761.25,5111.25
167,118,Final Invoice for Project Brooklyn Juniors,4350.00,TRUE,761.25,5111.25
168,118,Additional costs for food from Viewing Facility (at cost),175.00,TRUE,30.63,205.63
169,119,Stage 1 of Centre Needs Project to Cover Initial Qualitative Stage Set up costs,9500.00,TRUE,1662.50,11162.50
170,120,First 50% Invoice for Project Gamer,10200.00,TRUE,1785.00,11985.00
171,121,Second Half of Project Fees,10200.00,TRUE,1785.00,11985.00
172,122,Project Fees associated with White Rose Shopping Centre Design test,4150.00,TRUE,726.25,4876.25
173,123,Final Stage of N95 PLUS Study,16750.00,TRUE,2931.25,19681.25
174,125,Balance of Centre Needs Study as agreed,9472.50,TRUE,1657.69,11130.19
175,126,Initial 50% of Fuelcards Audit Project,6900.00,TRUE,1207.50,8107.50
176,128,First half of DesignYourCake.co.uk research,7450.00,TRUE,1303.75,8753.75
177,129,2007 People Survey - Costs of Survey Design and Analysis (as quoted),12750.00,TRUE,2231.25,14981.25
178,130,Presenting Employers Qualitative Results to EST Meeting in Birminham,500.00,TRUE,87.50,587.50
179,130,Time and Travel costs,0.00,FALSE,0.00,0.00
180,131,Design Your Cake Concept Research.  Second half invoice,7450.00,TRUE,1303.75,8753.75
181,132,Consultancy for Project Blue Light,1775.00,TRUE,310.63,2085.63
182,133,Consultancy for Project Allotment,2989.00,TRUE,523.08,3512.08
183,134,First 50% of Nokia N76 PLUS Study,13965.00,TRUE,2443.88,16408.88
184,135,Part Invoice to cover the Second Half of Fuel Card Audit,3450.00,TRUE,603.75,4053.75
185,136,Health & Safety Concept Research,7150.00,TRUE,1251.25,8401.25
186,137,2007 Jobseeker Satisfaction Survey - first 50% of Project Fees,14475.00,TRUE,2533.13,17008.13
187,138,Brand Health Check JJScotland,10800.00,TRUE,1890.00,12690.00
188,138,,0.00,FALSE,0.00,0.00
189,139,Final Fees for Fuel Card Group Audit,3450.00,TRUE,603.75,4053.75
190,140,Final 50% of the Jobseeker Satisfaction Survey,14475.00,TRUE,2533.13,17008.13
191,141,Second 50% of N76 PLUS Study,13965.00,TRUE,2443.88,16408.88
