Client ID,Contact ID,JobNumber,Project Name,Job Description,Key Buzzz Contact,Invoice Schedule,Job Status,Reason for fail,Projecttype,Total Charge Out,Total Project Costs,Total Margin,Margin percent,DateEntered,Total Actual Costs,Toal Actual margin,Totalactualmargin%,variance,variance%,calcoldway
308,,11049,Project Easyfeet,Building a Value proposition for Underlay,Alan,50/50,Completed Job,,Qual and Quant,21670.00,9130.00,12540.00,0.578680203,03/13/06,0.00,21670.00,1.00,9130.00,0.421319797,FALSE
280,0,11051,Carbon Trust Media Analysis,Analysis of Media and Enquiry campaign,Chris,100% upon completion,Completed Job,,Consultancy,250.00,0.00,0.00,1,03/17/06,0.00,0.00,1.00,0.00,0,FALSE
244,32,11052,N90 PLUS Study,Job carried over from old system 10805,Alan,50/25/25,Completed Job,,Qual,17500.00,8670.00,8830.00,0.504571429,03/28/06,0.00,17500.00,1.00,8670.00,0.495428571,FALSE
236,22,11053,City & Guilds,Consultancy Support for City & Guilds Segmentation Study,Chris,100% up front,Completed Job,,Consultancy,4500.00,75.00,4425.00,0.983333333,03/31/06,0.00,4500.00,1.00,75.00,0.016666667,FALSE
94,10,11054,People Satisfaction,People Satisfaction Study - Online Project amongst Working Links People,Chris,,Completed Job,,Quant,10000.00,2500.00,7500.00,0.75,03/31/06,0.00,10000.00,1.00,2500.00,0.25,FALSE
94,10,11055,Parkhead Social Impact Study,Evaluation of the Impact Following the Working in Neighbourhoods Scheme,Alan,100% up front,Completed Job,,Qual,12000.00,4000.00,8000.00,0.666666667,03/31/06,0.00,12000.00,1.00,4000.00,0.333333333,FALSE
94,10,11056,Birmingham Client Satisfaction Booster,Additional interviews for Birmingham Satisfaction Study,Chris,100% up front,Completed Job,,Quant,2500.00,1500.00,1000.00,0.4,04/04/06,0.00,2500.00,1.00,1500.00,0.6,FALSE
94,10,11057,2006/2007 Research Programme,2006/2007 Research Programme,Chris,50/50,Completed Job,,Qual and Quant,105137.00,49922.00,55215.00,0.525171919,04/18/06,0.00,105137.00,1.00,49922.00,0.474828081,FALSE
94,117,11058,North West Task Force,Consultancy Support for Data Provision to aid Decision Making,Chris,100% upon completion,Completed Job,,Consultancy,5000.00,0.00,0.00,1,04/21/06,0.00,0.00,1.00,0.00,0,FALSE
308,116,11059,Project Broker,Depth Interviews with FSA Brokers,Alan,50/50,Completed Job,,Qual,2000.00,1510.00,490.00,0.245,05/05/06,0.00,2000.00,1.00,1510.00,0.755,FALSE
236,0,11060,RSD Support,Consultancy Support for RSD Position,Alan,100% up front,Proposal,,Consultancy,6000.00,0.00,0.00,1,05/05/06,0.00,0.00,1.00,0.00,0,FALSE
239,21,11061,Ronnie Barker,Investigation of Porridge (Ready to Eat) Formats,Chris,100% up front,Failed proposal,Decided not to spend anything on porridge!! End of financial year and budgets are tight!,Quant,10000.00,0.00,0.00,1,05/09/06,0.00,0.00,1.00,0.00,0,FALSE
310,0,11062,Crackerjack,Jacob's Strategic Positioning Qualitative Project,Alan,,Failed proposal,Awarded to competitor they had used before. Close run thing - we made less mention of the Communications testing apparently. Impressed a few people at UB though - WARM prospect.,Qual,35000.00,19860.00,15140.00,0.432571429,05/16/06,0.00,35000.00,1.00,19860.00,0.567428571,FALSE
94,10,11063,Moderator Training,To provide Focus Group Moderation Training to Working Links Staff,Alan,50/50,Completed Job,,Training,12000.00,6850.00,5150.00,0.429166667,05/19/06,0.00,12000.00,1.00,6850.00,0.570833333,FALSE
308,116,11064,Interfloor - Pilot Study Exit Interviews,N=100 exit interviews across 5 of the pilot stores,Chris,50/50,Completed Job,,Quant,3500.00,1800.00,1700.00,0.485714286,06/12/06,0.00,3500.00,1.00,1800.00,0.514285714,FALSE
94,35,11065,Employers Campaign Research,Using Test Concepts to Explore Working links Brand Vaues amongst an Employer Target Audience,Alan,50/50,Failed proposal,Working Links not prepared to pay for research. Hird now proposing quant research that they'll pay for - outlined under job no 11075,Qual,8500.00,3750.00,4750.00,0.558823529,06/12/06,0.00,8500.00,1.00,3750.00,0.441176471,FALSE
244,32,11066,N80 PLUS,PLUS Study for N80 across 3 markets,Alan,50/50,Failed proposal,Superseeded by new Plus Contract,Qual,95500.00,50302.00,36887.00,0.473277487,06/14/06,0.00,95500.00,1.00,58613.00,0.526722513,FALSE
313,124,11067,ASDA Romford Telephone Research,N=100 telephone interviews to determine reasons for underperformance of Asda store in Romford,Chris,50/50,Completed Job,,Quant,4400.00,2020.00,2380.00,0.540909091,06/16/06,0.00,4400.00,1.00,2020.00,0.459090909,FALSE
332,146,11068,Management Presentation,Quant presentation to management team,Chris,100% up front,Completed Job,,Quant,350.00,48.00,302.00,0.862857143,06/22/06,0.00,350.00,1.00,48.00,0.137142857,FALSE
94,10,11069,Client Tracking Pilot,Brand Tracking Amonst Pilot Prospective Clients - Pilot Study,Chris,50/50,Failed proposal,,Quant,0.00,0.00,0.00,,06/22/06,0.00,0.00,,0.00,,FALSE
333,147,11070,Nouveaux,Packaging Test for New French Wine Products,Chris,50/50,Completed Job,,Quant,18750.00,8100.00,10650.00,0.568,06/30/06,0.00,18750.00,1.00,8100.00,0.432,FALSE
334,149,11071,Journey,Customer Satisfaction Measurement,Alan,30/35/35,Failed proposal,,Qual and Quant,107500.00,12550.00,22450.00,0.883255814,06/30/06,0.00,35000.00,1.00,12550.00,0.116744186,FALSE
244,152,11072,Expression,Product Portfolio Research,Alan,50/50,Completed Job,,Qual,115757.21,72710.08,43047.13,0.371874288,06/30/06,0.00,115757.21,1.00,72710.08,0.628125712,FALSE
241,0,11073,APS Credit Card Services,Investigation of Credit Card Services for APS & Mastercard,Alan,50/50,Failed proposal,Went to other agency commissioned by Mastercard,Qual,33000.00,24950.00,8050.00,0.243939394,07/04/06,0.00,33000.00,1.00,24950.00,0.756060606,FALSE
,0,11074,Project Dalesman,Readership Research for The Dalesman,Alan,50/50,"Intial interest registeredBriefing meetingProposalCurrent JobCompleted JobIntitial interest registered",,Qual and Quant,12500.00,4780.00,7720.00,0.6176,07/19/06,0.00,12500.00,1.00,4780.00,0.3824,FALSE
313,124,11075,EmployerTrack,Working Links Employer Campaign Pre and Post Tracking,Chris,50/50,Failed proposal,Hird didn't get the work.,Quant,8500.00,4100.00,4400.00,0.517647059,07/20/06,0.00,8500.00,1.00,4100.00,0.482352941,FALSE
238,19,11076,McCains Pub Eating,Consultant Support for McCains Pub Eating Project - 3 workshop and debrief sessions,Alan,100% upon completion,Completed Job,,Consultancy,6175.16,500.00,5675.16,0.919030438,07/27/06,0.00,6175.16,1.00,500.00,0.080969562,FALSE
244,159,11077,PLUS Studies,2006 PLUS Study Pitch,,,Completed Job,,Qual and Quant,235635.00,0.00,0.00,1,07/27/06,0.00,0.00,1.00,0.00,0,FALSE
94,10,11078,London People Survey Meeting,Meeting at Covent Garden for People Survey,Chris,100% up front,Completed Job,,Quant,155.00,155.00,0.00,0,07/28/06,104.00,51.00,0.33,51.00,0.329032258,FALSE
336,151,11079,Global Refund,Global Refund International Project,Chris,50/50,Failed proposal,Company decided not to proceed with ad agency who asked us for proposal.,Qual and Quant,175000.00,80000.00,95000.00,0.542857143,07/28/06,0.00,175000.00,1.00,80000.00,0.457142857,FALSE
303,155,11080,Pathway,Assessing Needs and Barriers to Agency Support amongst IB Claimants,Alan,50/50,Failed proposal,Client didn't get shortlisted for any of the tenders.,Qual,30000.00,7955.00,22045.00,0.734833333,08/08/06,0.00,30000.00,1.00,7955.00,0.265166667,FALSE
339,154,11081,UKWelcome,Examining The Welcome Experienced by Overseas Visitors to Britain,Chris,50/50,Failed proposal,Went with another agency because we were too expensive.,Qual,0.00,0.00,0.00,,08/24/06,0.00,0.00,,0.00,,FALSE
332,146,11082,Look & Feel,Perceptions of Underlay Variants,Chris,50/50,Completed Job,,Quant,7000.00,3500.00,3500.00,0.5,09/07/06,0.00,7000.00,1.00,3500.00,0.5,FALSE
335,150,11083,Jobstoday Tracking,Initial Benchmark and Ongoing Brand Tracking,Chris,50/50,Failed proposal,Agency didn't get the work,Quant,71050.00,41325.00,29725.00,0.418367347,09/13/06,0.00,71050.00,1.00,41325.00,0.581632653,FALSE
335,150,11084,Jobs Today Creative Qualitative Project,Testing Creative Concepts amongst Active Job Seekers,Alan,100% up front,Failed proposal,Decided not to do it.,Qual,4000.00,1880.00,2120.00,0.53,09/19/06,0.00,4000.00,1.00,1880.00,0.47,FALSE
313,124,11085,Pride,NPD Development Work for Selden / Decosol,Chris,50/50,Current job,,Qual and Quant,14500.00,3300.00,2200.00,0.772413793,10/03/06,0.00,5500.00,1.00,3300.00,0.227586207,FALSE
308,115,11086,Fitter,Exploring the Degree of Influence Fitters have in Independent Retail Sector,Alan,50/50,Failed proposal,,Qual,4500.00,630.00,3870.00,0.86,10/10/06,0.00,4500.00,1.00,630.00,0.14,FALSE
313,124,11087,Volvo Dealer Interviews,Depth Interviews with Volvo Sales Managers responsible for In Car Telephone Sales in UK; Holland; Italy; Germany; Spain; France,Alan,100% up front,Failed proposal,Lack of Budget and time from their client,Qual,15000.00,2500.00,12500.00,0.833333333,10/11/06,0.00,15000.00,1.00,2500.00,0.166666667,FALSE
313,124,11088,Project Snoop,Research Programme in advance of launch of Motorola Music Phone,Chris,50/50,Failed proposal,,Qual and Quant,85500.00,25340.00,60160.00,0.703625731,11/02/06,0.00,85500.00,1.00,25340.00,0.296374269,FALSE
236,22,11089,C&G 2,Additional days on C&G segmentation project,Chris,100% upon completion,Completed Job,,Consultancy,3500.00,2.00,3498.00,0.999428571,11/03/06,0.00,3500.00,1.00,2.00,0.000571429,FALSE
342,161,11090,Project Clean Air,Pre-launch Research for Air Conditioning Product,Alan,50/50,Failed proposal,Too Expensive and out on time frame,Qual and Quant,0.00,0.00,0.00,,11/20/06,0.00,0.00,,0.00,,FALSE
313,124,11092,DecoPack,New Decosol Packaging Research,Chris,50/50,Failed proposal,Did not progress,Quant,7100.00,3095.00,4005.00,0.564084507,11/24/06,0.00,7100.00,1.00,3095.00,0.435915493,FALSE
94,12,11093,2007 Insight Programme,2007 Insight Programme,Chris,50/50,Proposal,,Qual and Quant,2500.00,500.00,2000.00,0.8,11/24/06,0.00,2500.00,1.00,500.00,0.2,FALSE
313,124,11094,Dickie,Richard Kendle Brand Research,Chris,50/50,Completed Job,,Qual and Quant,4700.00,1280.00,3420.00,0.727659574,11/28/06,0.00,4700.00,1.00,1280.00,0.272340426,FALSE
244,160,11095,Blogger,Cancellation Fees,Alan,50/50,Completed Job,,Qual,1450.00,600.00,850.00,0.586206897,12/20/06,0.00,1450.00,1.00,600.00,0.413793103,FALSE
265,61,11096,Project Surfer,6 days time supporting on Land Rover concept qual research,Chris,50/50,Completed Job,,Consultancy,3300.00,303.00,2997.00,0.908181818,01/04/07,0.00,3300.00,1.00,303.00,0.091818182,FALSE
341,158,11097,Expression USA,Focus Groups to examine Expression Range in two US Cities,Alan,50/50,Failed proposal,,Qual,60000.00,41500.00,18500.00,0.308333333,01/10/07,0.00,60000.00,1.00,41500.00,0.691666667,FALSE
343,163,11098,Shared Passions,To investigate Everyday Life and Aspirations of specific key segments and their Shared Passions. To help strategically with Sponsorhip Strategy for Nokia.,Alan,50/50,Completed Job,,Qual and Quant,66800.00,32135.00,34665.00,0.518937126,01/22/07,23500.00,43300.00,0.65,8635.00,0.129266467,FALSE
344,164,11099,Sky Portal,Sky web portal developmental research,Chris,50/50,Failed proposal,,Qual,20600.00,10800.00,9800.00,0.475728155,02/13/07,0.00,20600.00,1.00,10800.00,0.524271845,FALSE
244,165,11100,N95 Pilot,Feedback on N95 Pilot Users,Alan,50/50,Failed proposal,,Qual and Quant,15310.00,4600.00,10710.00,0.699542782,02/19/07,0.00,15310.00,1.00,4600.00,0.300457218,FALSE
343,163,11101,,,,,,,,0.00,0.00,0.00,,02/22/07,0.00,0.00,,0.00,,FALSE
94,12,11102,Funders Segmentation,Customer Segmentation Research for Funders,Chris,100% up front,Current job,,Qual,14000.00,7700.00,6300.00,0.45,02/22/07,0.00,14000.00,1.00,7700.00,0.55,FALSE
94,12,11103,Employer Segmentation Qual,Qualitative customer segmentation research for Employers,Chris,100% up front,Completed Job,,Qual,38750.00,16340.00,22410.00,0.578322581,02/22/07,0.00,38750.00,1.00,16340.00,0.421677419,FALSE
94,12,11104,Jobseeker Segmentation Qual,Qualitative Customer Segmentation research for Jobseekers,Chris,100% up front,Completed Job,,Qual,44000.00,21400.00,22600.00,0.513636364,02/22/07,0.00,44000.00,1.00,21400.00,0.486363636,FALSE
238,23,11105,McCains Cut Potato Project,Consultancy Support for NPD Project on Cut Potato Products,Alan,100% upon completion,Completed Job,,Consultancy,3206.20,46.20,3160.00,0.985590419,02/22/07,46.20,3160.00,0.99,0.00,0,FALSE
244,159,11106,N92 PLUS,"Examine the reaction to the first TV phone to be rolled out in Asia.Single market study in Vietnam",Alan,50/50,Failed proposal,Lack of database,Qual and Quant,47500.00,9110.00,26590.00,0.808210526,03/16/07,0.00,47500.00,1.00,20910.00,0.191789474,FALSE
244,159,11107,N95 PLUS,Post Launch Usage and Satisfaction Study for the N95 involving 9 Focus Groups and Online Study across 3 countries,Alan,50/50,Completed Job,,Qual and Quant,33500.00,24910.00,8590.00,0.25641791,03/16/07,0.00,33500.00,1.00,24910.00,0.74358209,FALSE
94,12,11108,Wales Reseearch Presentation,Presentation of People and Jobseeker Research to Welsh Management Team - Mar 07,Chris,100% up front,Completed Job,,Consultancy,1200.00,250.00,950.00,0.791666667,03/21/07,0.00,1200.00,1.00,250.00,0.208333333,FALSE
94,12,11109,JCP Relationship Research,Postal Survey to Key JCP Contacts,Chris,50/50,Completed Job,,Quant,8600.00,1415.00,7185.00,0.835465116,03/22/07,1370.50,7229.50,0.84,44.50,0.005174419,FALSE
239,21,11110,Brooklyn Juniors,Testing Consumer Reaction to a new Frozen Baked Cheesecake concept,Alan,50/50,Completed Job,,Qual,8700.00,3810.00,4890.00,0.562068966,04/10/07,0.00,8700.00,1.00,3810.00,0.437931034,FALSE
346,167,11111,Centre Needs,Assessing Needs of Eductaion Centres from an Awarding body,Alan,50/50,Completed Job,,Qual and Quant,18972.50,5650.00,13322.50,0.702200553,04/15/07,0.00,18972.50,1.00,5650.00,0.297799447,FALSE
340,155,11112,Sunningdale Workshop,Attendance and facilitation of Sunningdale Workshop in April 2007,Chris,100% up front,Completed Job,,Consultancy,650.00,50.00,600.00,0.923076923,04/27/07,0.00,650.00,1.00,50.00,0.076923077,FALSE
244,165,11113,Remote Mobile Test,New Concept Groups (Budget),Alan,100% up front,Failed proposal,,Qual,13600.00,7710.00,5890.00,0.433088235,05/01/07,0.00,13600.00,1.00,7710.00,0.566911765,FALSE
347,168,11114,REL Brand Essence,Consultation on Brand Essence Work,Alan,,Proposal,,Consultancy,6350.00,450.00,5900.00,0.929133858,05/15/07,0.00,6350.00,1.00,450.00,0.070866142,FALSE
313,124,11115,Fletchers Brand Audit,Workshops and Depth Interviews with key Stakeholders to develop current Brand Standing,Alan,50/50,Failed proposal,,Consultancy,7850.00,965.00,6885.00,0.877070064,05/17/07,0.00,7850.00,1.00,965.00,0.122929936,FALSE
348,170,11116,Boost,Packaging Concept Test for Energy Drink Pack Refresh,Alan,,Failed proposal,Never heard from client,Qual,8500.00,3660.00,4840.00,0.569411765,05/21/07,0.00,8500.00,1.00,3660.00,0.430588235,FALSE
244,165,11117,Remote Gaming,Assess the concept of a new Remote Gaming device,Alan,,Completed Job,,Qual,20400.00,10210.00,10190.00,0.499509804,05/22/07,0.00,20400.00,1.00,10210.00,0.500490196,FALSE
349,150,11118,White Rose Design Concept,Testing Design Concepts for White Rose Shopping Centre,Alan,100% up front,Completed Job,,Qual and Quant,4150.00,1300.00,2850.00,0.686746988,06/04/07,0.00,4150.00,1.00,1300.00,0.313253012,FALSE
340,,11119,North & South Marketing Workshops,Running Executive Half day Workshops aimed at Marketing and Customer Centricity,Alan,100% upon completion,Current job,,Consultancy,1550.00,250.00,1300.00,0.838709677,06/05/07,0.00,1550.00,1.00,250.00,0.161290323,FALSE
349,171,11120,Cash Generators,Research Programme for Cash Generators,Alan,,Failed proposal,Client had no budget,Qual and Quant,3000.00,50.00,2950.00,0.983333333,06/13/07,0.00,3000.00,1.00,50.00,0.016666667,FALSE
350,172,11121,Warm Glow,Focus Groups looking at NPD in Underfloor Heating Systems,Alan,50/50,Failed proposal,,Qual,8500.00,4360.00,4140.00,0.487058824,06/20/07,0.00,8500.00,1.00,4360.00,0.512941176,FALSE
351,173,11122,Project Super League,Assessment of Qualifying Criteria for clubs looking to franchise into the Rugby Super League,Alan,50/50,Failed proposal,Client decided not to proceed,Quant,46200.00,31550.00,14650.00,0.317099567,06/21/07,0.00,46200.00,1.00,31550.00,0.682900433,FALSE
357,124,11123,Fuelcards Audit,An Audit of key audiences for Fuelcards Group prior to any Re-Branding,Alan,,Completed Job,,Qual,13800.00,3410.00,10390.00,0.752898551,07/02/07,0.00,13800.00,1.00,3410.00,0.247101449,FALSE
313,124,11124,Working Links NE Campaign Evaluation,Test the Creative Impact of NE Recruitment Campaign,Alan,50/50,Failed proposal,,Quant,6700.00,3510.00,3190.00,0.476119403,07/05/07,0.00,6700.00,1.00,3510.00,0.523880597,FALSE
94,10,11125,London People Work,"Re-cut Analysis of People Survey and deploy with Focus Group Approach to London officesFunded by £9k CREDIT from 2005 / 2006",Alan,,Current job,,Qual and Quant,0.00,0.00,0.00,,07/20/07,0.00,0.00,,0.00,,FALSE
238,23,11126,McCains NPD,Two Projects examining potential for Functional Food and Vegetables,Alan,100% upon completion,Completed Job,,Consultancy,4764.00,184.00,4580.00,0.961376994,07/24/07,0.00,4764.00,1.00,184.00,0.038623006,FALSE
352,174,11127,Swiss Bread,Explore Needs States for Bread in Switzerland,Alan,50/50,Failed proposal,too expensive for client,Qual,36890.00,31990.00,4900.00,0.132827324,08/08/07,0.00,36890.00,1.00,31990.00,0.867172676,FALSE
239,21,11128,Designyourcake.co.uk,Ecommerce concept testing,Claire,50/50,Completed Job,,Qual and Quant,14900.00,4190.00,10710.00,0.718791946,08/21/07,0.00,14900.00,1.00,4190.00,0.281208054,FALSE
340,0,11129,2007 People Survey,Online Survey to examine Satisfaction Amongst People working with Working Links,Claire,50/50,Completed Job,,Quant,12750.00,2225.00,10525.00,0.825490196,08/22/07,0.00,12750.00,1.00,2225.00,0.174509804,FALSE
341,32,11130,In Box,Assessment of Consumers views of In Box contents.,Alan,50/50,Failed proposal,Client decided not to proceed,Quant,8000.00,3500.00,4500.00,0.5625,08/29/07,0.00,8000.00,1.00,3500.00,0.4375,FALSE
244,165,11131,N76 PLUS Study,Post Launch Usage and Satisfaction Study for the N76 model,Claire,50/50,Current job,,Qual and Quant,27000.00,13370.00,13630.00,0.504814815,09/03/07,0.00,27000.00,1.00,13370.00,0.495185185,FALSE
354,177,11132,Project Quit,Researching the Effectiveness of Stop Smoking Intervention in Bradofrd and Airedale amongst Asian Ethnic Groups,Alan,50/50,Proposal,,Qual and Quant,37000.00,16375.00,20625.00,0.557432432,09/06/07,0.00,37000.00,1.00,16375.00,0.442567568,FALSE
340,155,11133,EST Employer Presentation and Workshop,Re-presenting the Employers Qualitative Research in Birmingham,Alan,100% upon completion,Completed Job,,Consultancy,500.00,86.44,413.56,0.82712,09/13/07,0.00,500.00,1.00,86.44,0.17288,FALSE
355,179,11134,Project Sauce,,Claire,50/50,Failed proposal,No Budget,Quant,0.00,0.00,0.00,,09/14/07,0.00,0.00,,0.00,,FALSE
356,180,11135,Aimlisting.co.uk,Online Interviews with Decision Makers in AIM listed businesses,Claire,,Current job,,Quant,5000.00,3170.00,1830.00,0.366,09/18/07,0.00,5000.00,1.00,3170.00,0.634,FALSE
341,33,11136,Project OTIC,Exploring Consumer Reaction to the concept of Over the Internet Configuration,Alan,50/50,Proposal,,Qual and Quant,17000.00,8290.00,8710.00,0.512352941,09/21/07,0.00,17000.00,1.00,8290.00,0.487647059,FALSE
340,178,11137,2007 Jobseeker Satisfaction Survey,Quantitative Study into Client Satisfaction,Alan,50/50,Current job,,Quant,28950.00,14225.00,14725.00,0.508635579,09/28/07,0.00,28950.00,1.00,14225.00,0.491364421,FALSE
358,182,11138,Total Jobs - Job Journey Scotland,Brand Health Check Research,Claire,50/50,Current job,,Quant,10800.00,5145.00,5655.00,0.523611111,10/01/07,0.00,10800.00,1.00,5145.00,0.476388889,FALSE
340,,11139,Post WHC Evaluation Research,"Quant and Qual evaluation of the likely appetite for a project similar to the Workplace Health Connect ServicePO NUMBER sh041",Claire,,Current job,,Qual and Quant,7150.00,1900.00,5250.00,0.734265734,10/02/07,0.00,7150.00,1.00,1900.00,0.265734266,FALSE
341,152,11140,Expressions 08,Qualitative Research to Explore reactions to New Mobile Phone Concepts for Create; Play and Street sub categories,Alan,,Current job,,Qual,134000.00,8000.00,126000.00,0.940298507,10/02/07,0.00,134000.00,1.00,8000.00,0.059701493,FALSE
356,180,11141,QX Accountancy Back Office Concept Test,,Claire,50/50,Proposal,,Quant,0.00,0.00,0.00,,10/09/07,0.00,0.00,,0.00,,FALSE
94,10,11142,Yorkshire & Humber Competitor Research,,Claire,50/50,Current job,,Qual,0.00,0.00,0.00,,10/22/07,0.00,0.00,,0.00,,FALSE
358,182,11143,North West Campaign Evaluation,To assess the impact of Marketing & Advertising Campaign in the North West of England,Claire,50/50,Proposal,,Quant,20030.00,12730.00,7300.00,0.36445332,10/29/07,0.00,20030.00,1.00,12730.00,0.63554668,FALSE
239,0,11144,Project Christmas 2008,,Claire,50/50,Proposal,,Qual and Quant,0.00,0.00,0.00,0,11/12/07,0.00,0.00,0.00,0.00,0,FALSE
360,184,11145,Project Pita Bakes,Quant halls for Pita Bakes,Claire,50/50,Proposal,,Quant,0.00,0.00,0.00,0,11/13/07,0.00,0.00,0.00,0.00,0,FALSE
